transaction_id,scenario,recon_exception,anomaly,details
TXN-1001,NORMAL,false,false,{}
TXN-1002,NORMAL,false,false,{}
TXN-1003,NORMAL,false,false,{}
TXN-1004,NORMAL,false,false,{}
TXN-1005,NORMAL,false,false,{}
TXN-1006,NORMAL,false,false,{}
TXN-1007,NORMAL,false,false,{}
TXN-1008,NORMAL,false,false,{}
TXN-1009,NORMAL,false,false,{}
TXN-1010,NORMAL,false,false,{}
TXN-1011,DUPLICATE_TRANSACTION,true,false,"{""partner"": ""TXN-1012"", ""role"": ""original""}"
TXN-1012,DUPLICATE_TRANSACTION,true,false,"{""partner"": ""TXN-1011"", ""role"": ""duplicate""}"
TXN-1013,LEDGER_MISMATCH,true,false,{}
TXN-1014,NORMAL,false,false,{}
TXN-1015,NORMAL,false,false,{}
TXN-1016,NORMAL,false,false,{}
TXN-1017,NORMAL,false,false,{}
TXN-1018,NORMAL,false,false,{}
TXN-1019,NORMAL,false,false,{}
TXN-1020,NORMAL,false,false,{}
TXN-1021,NORMAL,false,false,{}
TXN-1022,NORMAL,false,false,{}
TXN-1023,NORMAL,false,false,{}
TXN-1024,NORMAL,false,false,{}
TXN-1025,NORMAL,false,false,{}
TXN-1026,GST_MISMATCH,true,false,{}
TXN-1027,NORMAL,false,false,{}
TXN-1028,NORMAL,false,false,{}
TXN-1029,NORMAL,false,false,{}
TXN-1030,NORMAL,false,false,{}
TXN-1031,NORMAL,false,false,{}
TXN-1032,NORMAL,false,false,{}
TXN-1033,NORMAL,false,false,{}
TXN-1034,NORMAL,false,false,{}
TXN-1035,NORMAL,false,false,{}
TXN-1036,NORMAL,false,false,{}
TXN-1037,NORMAL,false,false,{}
TXN-1038,SETTLEMENT_TIMING_MISMATCH,true,false,{}
TXN-1039,NORMAL,false,false,{}
TXN-1040,NORMAL,false,false,{}
TXN-1041,NORMAL,false,false,{}
TXN-1042,NORMAL,false,false,{}
TXN-1043,NORMAL,false,false,{}
TXN-1044,NORMAL,false,false,{}
TXN-1045,NORMAL,false,false,{}
TXN-1046,NORMAL,false,false,{}
TXN-1047,NORMAL,false,false,{}
TXN-1048,NORMAL,false,false,{}
TXN-1049,NORMAL,false,false,{}
TXN-1050,NORMAL,false,false,{}
TXN-1051,NORMAL,false,false,{}
TXN-1052,NORMAL,false,false,{}
TXN-1053,NORMAL,false,false,{}
TXN-1054,NORMAL,false,false,{}
TXN-1055,NORMAL,false,false,{}
TXN-1056,NORMAL,false,false,{}
TXN-1057,NORMAL,false,false,{}
TXN-1058,NORMAL,false,false,{}
TXN-1059,NORMAL,false,false,{}
TXN-1060,NORMAL,false,false,{}
TXN-1061,NORMAL,false,false,{}
TXN-1062,NORMAL,false,false,{}
TXN-1063,NORMAL,false,false,{}
TXN-1064,HIDDEN_ANOMALY,false,true,{}
TXN-1065,NORMAL,false,false,{}
TXN-1066,NORMAL,false,false,{}
TXN-1067,NORMAL,false,false,{}
TXN-1068,NORMAL,false,false,{}
TXN-1069,NORMAL,false,false,{}
TXN-1070,NORMAL,false,false,{}
TXN-1071,NORMAL,false,false,{}
TXN-1072,NORMAL,false,false,{}
TXN-1073,FAILED_LEDGER_WRITE,true,false,{}
TXN-1074,NORMAL,false,false,{}
TXN-1075,NORMAL,false,false,{}
TXN-1076,NORMAL,false,false,{}
TXN-1077,NORMAL,false,false,{}
TXN-1078,NORMAL,false,false,{}
TXN-1079,NORMAL,false,false,{}
TXN-1080,NORMAL,false,false,{}
TXN-1081,NORMAL,false,false,{}
TXN-1082,NORMAL,false,false,{}
TXN-1083,NORMAL,false,false,{}
TXN-1084,NORMAL,false,false,{}
TXN-1085,NORMAL,false,false,{}
TXN-1086,REFUND_MISMATCH,true,false,{}
TXN-1087,NORMAL,false,false,{}
TXN-1088,NORMAL,false,false,{}
TXN-1089,NORMAL,false,false,{}
TXN-1090,NORMAL,false,false,{}
TXN-1091,NORMAL,false,false,{}
TXN-1092,NORMAL,false,false,{}
TXN-1093,NORMAL,false,false,{}
TXN-1094,NORMAL,false,false,{}
TXN-1095,NORMAL,false,false,{}
TXN-1096,MISSING_SETTLEMENT,true,false,{}
TXN-1097,FEE_MISMATCH,true,false,{}
TXN-1098,NORMAL,false,false,{}
TXN-1099,NORMAL,false,false,{}
TXN-1100,NORMAL,false,false,{}
